point,province,city,country,village,area,slice,slices,eastLongitude,northLatitude
11D10,河北,保定,涞水,涞水,冀鲁官话,保唐片,定霸小片,115.39166666666667,39.61666666666667
11D11,河北,张家口,涿鹿,涿鹿镇,晋语,张呼片,系属不明,115.21666666666667,40.15833333333333
11D07,河北,张家口,蔚县,蔚州镇,冀鲁官话,保唐片,涞阜小片,114.64166666666667,39.86666666666667
11D03,河北,衡水,桃城,河西,冀鲁官话区,石济片,邢衡小片,115.65,37.708333333333336
11D09,河北,石家庄,赞皇,赞皇镇,晋语,张呼片,系属不明,114.275,37.599999999999994
11D08,河北,邢台,桥东,北大街,冀鲁官话,石济片,邢衡小片,114.25,37.02
11D02,河北,保定,阜平,阜平,冀鲁官话,保唐片,涞阜小片,114.13333333333333,38.63333333333333
11D06,河北,张家口,万全区,万全镇,晋语,张呼片,系属不明,114.59166666666667,40.84166666666667
11D01,河北,定州,（无）,西城区,冀鲁官话,石济片,定霸小片,115.025,38.45
11D04,河北,廊坊,广阳,南尖塔,北京官话,京承片,怀承小片,116.60138888888889,39.53958333333334
11D05,河北,邯郸,涉县,涉城,晋语,邯新片,磁漳小片,113.71666666666667,36.599999999999994
11586,河北,承德市,兴隆县,兴隆镇,冀鲁官话区,保唐片,蓟遵小片,117.725,40.44166666666666
11127,河北,承德市,滦平县,滦平镇,北京官话区,怀承片,滦平小片,117.21666666666667,40.925
11576,河北,雄安新区,安新,安新,官话,冀鲁官话,保唐,115.875,38.875
11578,河北,沧州,沧县,旧州,官话,冀鲁官话,沧惠,116.80000000000001,38.31666666666666
11584,河北,邢台,沙河,桥西,晋语,邯新片,磁漳小片,114.20833333333334,36.925
11582,河北,石家庄,鹿泉,获鹿镇,晋语,张呼片,张呼片,114.34166666666667,38.08333333333333
11585,河北,（无）,辛集,辛集,冀鲁官话,石济片,赵深小片,115.30833333333334,37.84166666666667
11583,河北,雄安新区,容城,容城镇,冀鲁官话,保唐片,定霸小片,115.82234,39.022817
11581,河北,邯郸市,邯山区,北张庄镇,晋语区,邯新片,磁漳小片,114.44999999999999,36.55833333333334
11580,河北,邯郸,馆陶,馆陶镇,冀鲁官话,石济,聊泰,115.38333333333333,36.61666666666667
11577,河北,廊坊,霸州,霸州,冀鲁官话,保唐片,定霸小片,116.574305,39.10932
11579,河北,衡水,故城,郑口,官话,冀鲁官话,石济片,116.0,37.291666666666664
11587,河北,雄安新区,雄县,雄州,冀鲁官话,保唐片,定霸小片,116.17666666666666,39.046527777777776
11588,河北,张家口市,张北,张北镇,晋语,张呼片,张家口,114.80833333333334,41.25833333333334
11291,河北,邯郸市,魏县,魏城镇魏州,无,无,无,114.9325,36.224444444444444
